Year,Month,ParentSKU,Net Sales calculated
2017,12,F0140,1062846
2017,12,F0147,1256430
2017,12,F0167,1435571
2017,12,F0168,489764
2017,12,F0193,9067808
2017,12,F0194,1767248
2017,12,F0196,1477260
2017,12,F0199,800738
2017,12,F0201,947251
2017,12,F0202,1432388
2017,12,F0204,1304572
2017,12,F0206,341353
2017,12,F0207,938014
2017,12,F0210,1003330
2017,12,F0212,1795237
2017,12,F0214,1433002
2017,12,F0215,1142910
2017,12,F0216,974567
2017,12,F0217,1137956
2017,12,F0218,1161518
2017,12,F0232,1267916
2017,12,F0233,1108045
2017,12,F0306,2311385
2017,12,F0307,1899302
2017,12,F0311,2594975
2017,12,F0319,1540403
2017,12,F0320,1608098
2017,12,F0321,2190182
2017,12,F0328,1183937
2017,12,F0365,493009
2017,12,F0367,838429
2017,12,F0369,672668
2017,12,F0371,941632
2017,12,F0387,389965
2018,1,F0033,4356173
2018,1,F0034,5208869
2018,1,F0089,4104687
2018,1,F0091,2266370
2018,1,F0094,3064757
2018,1,F0098,3424506
2018,1,F0099,5568779
2018,1,F0101,1995700
2018,1,F0112,828098
2018,1,F0113,1115180
2018,1,F0140,1110604
2018,1,F0147,922095
2018,1,F0167,1189293
2018,1,F0168,307936
2018,1,F0193,3627036
2018,1,F0194,1783484
2018,1,F0196,1264957
2018,1,F0199,829252
2018,1,F0201,1350494
2018,1,F0202,1287704
2018,1,F0204,1536019
2018,1,F0206,751627
2018,1,F0207,1014587
2018,1,F0210,987242
2018,1,F0212,1199904
2018,1,F0214,1846532
2018,1,F0215,1480428
2018,1,F0216,1014214
2018,1,F0217,1376377
2018,1,F0218,1546746
2018,1,F0232,984132
2018,1,F0233,922499
2018,1,F0306,1902631
2018,1,F0307,1774562
2018,1,F0311,1471301
2018,1,F0319,1673412
2018,1,F0320,1367842
2018,1,F0321,1949042
2018,1,F0328,857063
2018,1,F0365,1095366
2018,1,F0367,1081506
2018,1,F0369,1272220
2018,1,F0371,743778
2018,1,F0387,2181835
2018,1,T0270,570065
2018,2,F0033,3909530
2018,2,F0034,5356333
2018,2,F0089,4339946
2018,2,F0091,1567126
2018,2,F0094,2437790
2018,2,F0098,1949310
2018,2,F0099,3273713
2018,2,F0101,1335989
2018,2,F0112,911381
